,missing_count,missing_rate
V237,460110,0.7791343516103905
V240,460110,0.7791343516103905
V241,460110,0.7791343516103905
V242,460110,0.7791343516103905
V243,460110,0.7791343516103905
V244,460110,0.7791343516103905
V246,460110,0.7791343516103905
V247,460110,0.7791343516103905
V248,460110,0.7791343516103905
V249,460110,0.7791343516103905
V252,460110,0.7791343516103905
V253,460110,0.7791343516103905
V254,460110,0.7791343516103905
V257,460110,0.7791343516103905
V258,460110,0.7791343516103905
V260,460110,0.7791343516103905
V261,460110,0.7791343516103905
V262,460110,0.7791343516103905
V263,460110,0.7791343516103905
V264,460110,0.7791343516103905
V265,460110,0.7791343516103905
V266,460110,0.7791343516103905
V267,460110,0.7791343516103905
V268,460110,0.7791343516103905
V269,460110,0.7791343516103905
V273,460110,0.7791343516103905
V274,460110,0.7791343516103905
V275,460110,0.7791343516103905
V276,460110,0.7791343516103905
V277,460110,0.7791343516103905
V278,460110,0.7791343516103905
id_05,453675,0.7682375452975243
id_06,453675,0.7682375452975243
R_emaildomain,453249,0.7675161716395164
id_20,451279,0.7641802418125783
id_19,451222,0.7640837199850984
id_17,451171,0.7639973583499847
V167,450909,0.763553696616656
V168,450909,0.763553696616656
V172,450909,0.763553696616656
V173,450909,0.763553696616656
V176,450909,0.763553696616656
V177,450909,0.763553696616656
V178,450909,0.763553696616656
V179,450909,0.763553696616656
V181,450909,0.763553696616656
V182,450909,0.763553696616656
V183,450909,0.763553696616656
V186,450909,0.763553696616656
V187,450909,0.763553696616656
V190,450909,0.763553696616656
V191,450909,0.763553696616656
V192,450909,0.763553696616656
V193,450909,0.763553696616656
V196,450909,0.763553696616656
V199,450909,0.763553696616656
V202,450909,0.763553696616656
V203,450909,0.763553696616656
V204,450909,0.763553696616656
V205,450909,0.763553696616656
V206,450909,0.763553696616656
V207,450909,0.763553696616656
V211,450909,0.763553696616656
V212,450909,0.763553696616656
V213,450909,0.763553696616656
V214,450909,0.763553696616656
V215,450909,0.763553696616656
V216,450909,0.763553696616656
V169,450721,0.7632353439225116
V170,450721,0.7632353439225116
V171,450721,0.7632353439225116
V174,450721,0.7632353439225116
V175,450721,0.7632353439225116
V180,450721,0.7632353439225116
V184,450721,0.7632353439225116
V185,450721,0.7632353439225116
V188,450721,0.7632353439225116
V189,450721,0.7632353439225116
V194,450721,0.7632353439225116
V195,450721,0.7632353439225116
V197,450721,0.7632353439225116
V198,450721,0.7632353439225116
V200,450721,0.7632353439225116
V201,450721,0.7632353439225116
V208,450721,0.7632353439225116
V209,450721,0.7632353439225116
V210,450721,0.7632353439225116
id_31,450258,0.7624513157449114
DeviceType,449730,0.7615572188166763
id_02,449668,0.7614522301622244
id_11,449562,0.7612727334304196
id_28,449562,0.7612727334304196
id_29,449562,0.7612727334304196
id_15,449555,0.7612608798726589
id_35,449555,0.7612608798726589
id_36,449555,0.7612608798726589
id_37,449555,0.7612608798726589
id_38,449555,0.7612608798726589
V220,449124,0.7605310393876791
V221,449124,0.7605310393876791
V222,449124,0.7605310393876791
V227,449124,0.7605310393876791
V234,449124,0.7605310393876791
V238,449124,0.7605310393876791
V239,449124,0.7605310393876791
V245,449124,0.7605310393876791
V250,449124,0.7605310393876791
V251,449124,0.7605310393876791
V255,449124,0.7605310393876791
V256,449124,0.7605310393876791
V259,449124,0.7605310393876791
V270,449124,0.7605310393876791
V271,449124,0.7605310393876791
V272,449124,0.7605310393876791
id_01,446307,0.7557608290716971
id_12,446307,0.7557608290716971
dist1,352271,0.596523520845328
M5,350482,0.5934940901547736
M7,346265,0.5863531682866528
M8,346252,0.5863311545365258
M9,346252,0.5863311545365258
D5,309841,0.524674027161581
M4,281444,0.47658753005723575
D2,280797,0.4754919226470688
D11,279287,0.47293494090154775
V1,279287,0.47293494090154775
V2,279287,0.47293494090154775
V3,279287,0.47293494090154775
V4,279287,0.47293494090154775
V5,279287,0.47293494090154775
V6,279287,0.47293494090154775
V7,279287,0.47293494090154775
V8,279287,0.47293494090154775
V9,279287,0.47293494090154775
V10,279287,0.47293494090154775
V11,279287,0.47293494090154775
M1,271100,0.4590713584177194
M2,271100,0.4590713584177194
M3,271100,0.4590713584177194
D3,262878,0.44514850814508755
M6,169360,0.28678836319300977
V35,168969,0.2861262573238053
V36,168969,0.2861262573238053
V37,168969,0.2861262573238053
V38,168969,0.2861262573238053
V39,168969,0.2861262573238053
V40,168969,0.2861262573238053
V41,168969,0.2861262573238053
V42,168969,0.2861262573238053
V43,168969,0.2861262573238053
V44,168969,0.2861262573238053
V45,168969,0.2861262573238053
V46,168969,0.2861262573238053
V47,168969,0.2861262573238053
V48,168969,0.2861262573238053
V49,168969,0.2861262573238053
V50,168969,0.2861262573238053
V51,168969,0.2861262573238053
V52,168969,0.2861262573238053
D4,168922,0.2860466691502693
P_emaildomain,94456,0.1599485216920107
V75,89164,0.15098723202492634
V76,89164,0.15098723202492634
V77,89164,0.15098723202492634
V78,89164,0.15098723202492634
V79,89164,0.15098723202492634
V80,89164,0.15098723202492634
V81,89164,0.15098723202492634
V82,89164,0.15098723202492634
V83,89164,0.15098723202492634
V84,89164,0.15098723202492634
V85,89164,0.15098723202492634
V86,89164,0.15098723202492634
V87,89164,0.15098723202492634
V88,89164,0.15098723202492634
V89,89164,0.15098723202492634
V90,89164,0.15098723202492634
V91,89164,0.15098723202492634
V92,89164,0.15098723202492634
V93,89164,0.15098723202492634
V94,89164,0.15098723202492634
D15,89113,0.1509008703898127
V53,77096,0.13055169844549055
V54,77096,0.13055169844549055
V55,77096,0.13055169844549055
V56,77096,0.13055169844549055
V57,77096,0.13055169844549055
V58,77096,0.13055169844549055
V59,77096,0.13055169844549055
V60,77096,0.13055169844549055
V61,77096,0.13055169844549055
V62,77096,0.13055169844549055
V63,77096,0.13055169844549055
V64,77096,0.13055169844549055
V65,77096,0.13055169844549055
V66,77096,0.13055169844549055
V67,77096,0.13055169844549055
V68,77096,0.13055169844549055
V69,77096,0.13055169844549055
V70,77096,0.13055169844549055
V71,77096,0.13055169844549055
V72,77096,0.13055169844549055
V73,77096,0.13055169844549055
V74,77096,0.13055169844549055
V12,76073,0.1288193856470349
V13,76073,0.1288193856470349
V14,76073,0.1288193856470349
V15,76073,0.1288193856470349
V16,76073,0.1288193856470349
V17,76073,0.1288193856470349
V18,76073,0.1288193856470349
V19,76073,0.1288193856470349
V20,76073,0.1288193856470349
V21,76073,0.1288193856470349
V22,76073,0.1288193856470349
V23,76073,0.1288193856470349
V24,76073,0.1288193856470349
V25,76073,0.1288193856470349
V26,76073,0.1288193856470349
V27,76073,0.1288193856470349
V28,76073,0.1288193856470349
V29,76073,0.1288193856470349
V30,76073,0.1288193856470349
V31,76073,0.1288193856470349
V32,76073,0.1288193856470349
V33,76073,0.1288193856470349
V34,76073,0.1288193856470349
D10,76022,0.1287330240119213
addr1,65706,0.1112642666034477
addr2,65706,0.1112642666034477
card2,8933,0.015126833068039422
card5,4259,0.007212043214684865
card4,1577,0.00267043722694483
card6,1571,0.0026602770345785214
card3,1565,0.0026501168422122124
D1,1269,0.0021488806854743116
V281,1269,0.0021488806854743116
V282,1269,0.0021488806854743116
V283,1269,0.0021488806854743116
V288,1269,0.0021488806854743116
V289,1269,0.0021488806854743116
V296,1269,0.0021488806854743116
V300,1269,0.0021488806854743116
V301,1269,0.0021488806854743116
V313,1269,0.0021488806854743116
V314,1269,0.0021488806854743116
V315,1269,0.0021488806854743116
V95,314,0.0005317167338368274
V96,314,0.0005317167338368274
V97,314,0.0005317167338368274
V98,314,0.0005317167338368274
V99,314,0.0005317167338368274
V100,314,0.0005317167338368274
V101,314,0.0005317167338368274
V102,314,0.0005317167338368274
V103,314,0.0005317167338368274
V104,314,0.0005317167338368274
V105,314,0.0005317167338368274
V106,314,0.0005317167338368274
V107,314,0.0005317167338368274
V108,314,0.0005317167338368274
V109,314,0.0005317167338368274
V110,314,0.0005317167338368274
V111,314,0.0005317167338368274
V112,314,0.0005317167338368274
V113,314,0.0005317167338368274
V114,314,0.0005317167338368274
V115,314,0.0005317167338368274
V116,314,0.0005317167338368274
V117,314,0.0005317167338368274
V118,314,0.0005317167338368274
V119,314,0.0005317167338368274
V120,314,0.0005317167338368274
V121,314,0.0005317167338368274
V122,314,0.0005317167338368274
V123,314,0.0005317167338368274
V124,314,0.0005317167338368274
V125,314,0.0005317167338368274
V126,314,0.0005317167338368274
V127,314,0.0005317167338368274
V128,314,0.0005317167338368274
V129,314,0.0005317167338368274
V130,314,0.0005317167338368274
V131,314,0.0005317167338368274
V132,314,0.0005317167338368274
V133,314,0.0005317167338368274
V134,314,0.0005317167338368274
V135,314,0.0005317167338368274
V136,314,0.0005317167338368274
V137,314,0.0005317167338368274
V279,12,2.0320384732617603e-05
V280,12,2.0320384732617603e-05
V284,12,2.0320384732617603e-05
V285,12,2.0320384732617603e-05
V286,12,2.0320384732617603e-05
V287,12,2.0320384732617603e-05
V290,12,2.0320384732617603e-05
V291,12,2.0320384732617603e-05
V292,12,2.0320384732617603e-05
V293,12,2.0320384732617603e-05
V294,12,2.0320384732617603e-05
V295,12,2.0320384732617603e-05
V297,12,2.0320384732617603e-05
V298,12,2.0320384732617603e-05
V299,12,2.0320384732617603e-05
V302,12,2.0320384732617603e-05
V303,12,2.0320384732617603e-05
V304,12,2.0320384732617603e-05
V305,12,2.0320384732617603e-05
V306,12,2.0320384732617603e-05
V307,12,2.0320384732617603e-05
V308,12,2.0320384732617603e-05
V309,12,2.0320384732617603e-05
V310,12,2.0320384732617603e-05
V311,12,2.0320384732617603e-05
V312,12,2.0320384732617603e-05
V316,12,2.0320384732617603e-05
V317,12,2.0320384732617603e-05
V318,12,2.0320384732617603e-05
V319,12,2.0320384732617603e-05
V320,12,2.0320384732617603e-05
V321,12,2.0320384732617603e-05
TransactionID,0,0.0
isFraud,0,0.0
TransactionDT,0,0.0
TransactionAmt,0,0.0
ProductCD,0,0.0
card1,0,0.0
C1,0,0.0
C2,0,0.0
C3,0,0.0
C4,0,0.0
C5,0,0.0
C6,0,0.0
C7,0,0.0
C8,0,0.0
C9,0,0.0
C10,0,0.0
C11,0,0.0
C12,0,0.0
C13,0,0.0
C14,0,0.0
